"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000000107","ORF","YBL011W","SCT1","Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed","bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2","Verified"
"S000000108","ORF","YBL012C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000000109","ORF","YBL013W","FMT1","Methionyl-tRNA formyltransferase; catalyzes formylation of mitochondria initiator Met-tRNA and residual cytosolic Met-tRNA due to inefficient translocation into the mitochondrial matrix; starvation or stationary phase entry increases Gcn2p phosphorylation-mediated cytosolic retention of Fmt1p, enhancing N-terminal protein formylation and ultimately N-end rule pathway mediated destruction that involves the Psh1p ubiquitin ligase; potential Cdc28p substrate","methionyl-tRNA formyltransferase","Verified"
"S000000110","ORF","YBL014C","RRN6","Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p","","Verified"
"S000000111","ORF","YBL015W","ACH1","Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth","acetyl-CoA hydrolase","Verified"
"S000000112","ORF","YBL016W","FUS3","Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its; inhibits recruitment of Ste5p, Cdc42p-mediated asymmetry and mating morphogenesis","DAC2|mitogen-activated serine/threonine-protein kinase FUS3","Verified"
"S000000113","ORF","YBL017C","PEP1","Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments","type I sorting receptor|VPS10|VPT1","Verified"
"S000000114","ORF","YBL018C","POP8","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia","ribonuclease P","Verified"
"S000000115","ORF","YBL019W","APN2","Class II abasic (AP) endonuclease involved in repair of DNA damage; resolves blocked 3' ends that result from removal of misincorporated nucleotides; homolog of human HAP1 and E. coli exoIII","DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1","Verified"
"S000000116","ORF","YBL020W","RFT1","Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene","glycolipid translocation protein","Verified"
"S000000117","ORF","YBL021C","HAP3","Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding","","Verified"
"S000000118","ORF","YBL022C","PIM1","ATP-dependent Lon protease; involved in degradation of misfolded mitochondrial proteins; required for mitochondrial maintenance and biogenesis; regulates mitochondrial DNA copy number with Mrx6p; subunit of a complex containing Mrx6p, Pet20p, and Mam33p that may regulate mtDNA replication; protease-independent, chaperone-like function in mitochondrial membrane complex assembly; localizes to the mitochondrial matrix","ATP-dependent Lon protease PIM1|LON1","Verified"
"S000000119","ORF","YBL023C","MCM2","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress","MCM DNA helicase complex subunit MCM2","Verified"
"S000000120","ORF","YBL024W","NCL1","S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120","TRM4|tRNA (cytosine-C5-)-methyltransferase","Verified"
"S000000121","ORF","YBL025W","RRN10","Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I","","Verified"
"S000000122","ORF","YBL026W","LSM2","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress","Sm-like protein LSM2|SMX5|SNP3","Verified"
"S000000123","ORF","YBL027W","RPL19B","Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19B has a paralog, RPL19A, that arose from the whole genome duplication","eL19|L19B|L19e|L23B|ribosomal 60S subunit protein L19B|rpl5L|YL14","Verified"
"S000000124","ORF","YBL028C","","Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis","","Verified"
"S000000125","ORF","YBL029W","","Non-essential protein of unknown function","","Uncharacterized"
"S000000126","ORF","YBL030C","PET9","Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant","AAC2|ADP/ATP carrier protein PET9|ANC2|OP1","Verified"
"S000000127","ORF","YBL031W","SHE1","Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex, its effector Sli15p, and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function","","Verified"
"S000000128","ORF","YBL032W","HEK2","RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K","KHD1","Verified"
"S000000129","ORF","YBL033C","RIB1","GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway","GTP cyclohydrolase II","Verified"
"S000000130","ORF","YBL034C","STU1","Microtubule plus-end-tracking non-motor protein; binds to MTs, stabilizing interpolar MT plus ends, facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle, spindles poles, and detached KTs; CLASP family member homologous to human CLASP1/2","","Verified"
"S000000131","ORF","YBL035C","POL12","B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation","DNA-directed DNA polymerase alpha subunit POL12","Verified"
"S000000132","ORF","YBL036C","","Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5'-phosphate; expression of GFP-fusion protein induced in response to the DNA-damaging agent MMS","","Verified"
"S000000133","ORF","YBL037W","APL3","Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport","","Verified"
"S000000134","ORF","YBL038W","MRPL16","Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation","mitochondrial 54S ribosomal protein YmL47|RML16|uL16m|YmL47","Verified"
"S000000135","ORF","YBL039C","URA7","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication","CTP synthase URA7","Verified"
"S000000136","ORF","YBL040C","ERD2","HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins","","Verified"
"S000000137","ORF","YBL041W","PRE7","Beta 6 subunit of the 20S proteasome","proteasome core particle subunit beta 6|PRS3","Verified"
"S000000138","ORF","YBL042C","FUI1","High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress","uridine permease","Verified"
"S000000139","ORF","YBL043W","ECM13","Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication","","Verified"
"S000000140","ORF","YBL044W","","Putative protein of unknown function; YBL044W is not an essential protein","","Uncharacterized"
"S000000141","ORF","YBL045C","COR1","Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain","QCR1|ubiquinol--cytochrome-c reductase subunit COR1","Verified"
"S000000142","ORF","YBL046W","PSY4","Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX, but not for dephosphorylation of Rad53p, during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2","HSM6","Verified"
"S000000143","ORF","YBL047C","EDE1","Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15","BUD15","Verified"
